distance;e_elst;e_exch;e_ind;e_disp;e_tot
0.933539;-567.80601414;1524.9408873;-159.91729304;-282.8145972;514.40298292
1.133539;-332.5341119;902.2451976;-104.83161428;-206.10356073;258.77591069
1.333539;-193.70117311;522.68079786;-72.02541833;-151.41063123;105.54357519
1.533539;-113.79607086;297.14023011;-51.05764147;-112.3802466;19.90627119
1.733539;-68.62614346;166.04510765;-37.31233842;-84.33043878;-24.22381301
1.933539;-43.42953584;91.32415758;-28.19193556;-63.96494343;-44.26225725
2.133539;-29.51108647;49.49875431;-22.07168902;-49.01860326;-51.10262445
2.333539;-21.84844903;26.48075684;-17.89368487;-37.93857661;-51.19995366
2.533539;-17.59663316;14.00775097;-14.96097802;-29.64821638;-48.19807658
2.733539;-15.18022395;7.33805881;-12.82000375;-23.39041527;-44.05258415
2.933539;-13.74640913;3.80910731;-11.18530418;-18.62645153;-39.74905754
3.133539;-12.83910988;1.95744292;-9.88397592;-14.97228954;-35.73793243
3.333539;-12.21886076;0.99288963;-8.81147688;-12.14003595;-32.17748396
3.533539;-11.75326105;0.49490411;-7.90528821;-9.92880939;-29.09245455
3.733539;-11.36921212;0.24086237;-7.12569812;-8.18949937;-26.44354724
3.933539;-11.02700676;0.11347692;-6.44633723;-6.80582584;-24.16569291
4.133539;-10.70362207;0.05110156;-5.84904253;-5.6975874;-22.19915044
4.333539;-10.38828591;0.02153334;-5.32057172;-4.802525;-20.48984929
4.533539;-10.07668903;0.00813194;-4.85080399;-4.07377675;-18.99313784
4.733539;-9.7678772;0.00243679;-4.43166424;-3.47584884;-17.67295349
4.933539;-9.46253921;0.00024764;-4.05652384;-2.98167272;-16.50048814
5.133539;-9.16188905;-0.00045018;-3.71980832;-2.57044897;-15.45259652
5.333539;-8.86711842;-0.00057586;-3.41679005;-2.2260697;-14.51055402
5.533539;-8.57918081;-0.00051882;-3.1434296;-1.93595987;-13.65908911
5.733539;-8.29871548;-0.00042575;-2.89627656;-1.69022447;-12.88564226
5.933539;-8.02613386;-0.00034114;-2.67235987;-1.48101672;-12.17985159
6.133539;-7.76162115;-0.00027222;-2.4691108;-1.30206657;-11.53307075
6.333539;-7.50522466;-0.00021612;-2.28430181;-1.14832776;-10.93807035
6.533539;-7.25685136;-0.00016937;-2.11598655;-1.0157109;-10.38871818
6.733539;-7.00617597;-0.00012951;-1.96249311;-0.90096292;-9.86976152
6.933539;-6.77574732;-0.00010171;-1.82223314;-0.80115398;-9.39923615
